name,host_name,neighbourhood,room_type,price,minimum_nights,availability_365
Cute room in West Asheville,Dustin,28806,Private room,89,2,365
Mountain views minutes from brews,Terra,28806,Private room,85,2,326
  Charming Sunny Cottage and Porch,Joann,28806,Entire home/apt,99,3,316
Lovely 1926 home in West Asheville,Laurie,28806,Entire home/apt,200,4,4
West Asheville In-law Suite,Eric,28806,Entire home/apt,81,1,321
The front of the house is yours,Laura,28806,Private room,98,2,359
West Asheville Room,Jessica,28806,Private room,45,1,364
Cozy West Asheville Home,Pam,28806,Entire home/apt,75,2,203
"Asheville, Private Suite 750 Sq/Ft",Chris & Aubrey,28806,Entire home/apt,130,1,353
Cottage! BonPaul + Sharky's Hostel,BonPaul,28806,Entire home/apt,100,1,345
Art Barn off-grid in-town!,Cat,28806,Entire home/apt,42,2,356
Sweet West Asheville Bungalow,Chloe,28806,Entire home/apt,125,2,284
Serene Cozy Getaway,Karen,28806,Private room,50,1,232
Purple Door Studio Apt. W.Asheville,Stacy,28806,Entire home/apt,88,2,133
West Asheville Family Home & Garden,Lisa-Gaye,28806,Entire home/apt,139,3,217
Comfy 2 bedrm w/bath in 1920's home,Susanne,28806,Private room,78,2,356
Walkable West Asheville Bungalow,Adam And Jamie,28806,Entire home/apt,92,2,264
PET FRIENDLY APT CLOSE TO DOWNTOWN,Marilyn,28806,Entire home/apt,90,2,340
"New house, close to rt.  26 & I 40.",Rose,28806,Entire home/apt,115,2,342
"Bed, Bath, Breakfast and Beauty!",Jean,28806,Private room,85,1,316
Snuggle into West Asheville,Christina,28806,Private room,41,2,160
Fun Tent Cabin 5m Downtown,Joanna And Josh,28806,Entire home/apt,119,2,339
Large West Asheville Studio,Amber,28806,Entire home/apt,65,2,232
Asheville Artist/Writer Retreat,Maceo Z.,28806,Private room,95,1,358
Gr8 Choice! Eco-AWEsome hOMe W AVL,"JahSun, Lizzy, And Sophia",28806,Entire home/apt,119,2,362
West Asheville Home,Cody,28806,Entire home/apt,150,1,18
Stylish garden studio in West AVL,Mada,28806,Entire home/apt,105,2,82
Spacious 1 BR Apt. West Asheville!,Sara,28806,Entire home/apt,95,2,343
Charming room in West Asheville,Matt,28806,Private room,58,1,229
AWEsome Eco-Home - Walk to Haywood,"JahSun, Lizzy, And Sophia",28806,Entire home/apt,144,2,333
Privacy in the heart of W Asheville,Sage,28806,Entire home/apt,100,1,342
Private Room West AVL Bungalow,Heidi,28806,Private room,75,1,363
Remodeled Bungalow on Hanover St.,Curtis,28806,Entire home/apt,110,2,356
Pokeberry Loft,Pokeberry,28806,Entire home/apt,105,1,265
Private Tiny house w/Loft near dntn,Cat,28806,Entire home/apt,119,2,353
Bed and Bath - West Asheville,Megan,28806,Private room,65,1,361
RainbowUnicorn & Paris of the South,Terra,28806,Private room,97,2,332
"Lovely Asheville,N.C.! Private Pool",Shane,28806,Entire home/apt,95,2,316
Perfect West Asheville Location,Amber,28806,Private room,75,1,0
River Arts District 'Green' Cottage,Aubrey,28806,Entire home/apt,192,3,362
Asheville Ensuite Quiet and Close,Renee,28806,Private room,75,2,342
Private Hot Tub + Private Balcony!,Shawn,28806,Private room,79,1,326
Old-School Modern/Comfort,Amber,28806,Entire home/apt,111,1,351
Awesome Location in West Asheville!,Jay,28806,Private room,95,1,358
Cozy Home on the West Side,Noelle,28806,Entire home/apt,85,1,271
"""ZenShe"" Private Guest Quarters",Pat,28806,Private room,60,1,351
Artsy comfy home of W. Asheville,Reba,28806,Entire home/apt,95,2,0
West Asheville Underground,Sandusky,28806,Entire home/apt,85,2,329
"Bright, spacious W. Asheville home",Kathie,28806,Entire home/apt,325,2,102
6 BR West Asheville Family Home,Jeremy,28806,Entire home/apt,350,4,31
West Asheville Walkable,Jessica,28806,Entire home/apt,140,3,331
Cozy Cabin near downtown AVL,Cat,28806,Entire home/apt,119,2,355
Comfy/quiet West Asheville getaway ,Kim,28806,Entire home/apt,75,2,336
Steps away from Haywood Rd!,Marc,28806,Private room,60,1,281
West Asheville Delight,Roses And Mark,28806,Entire home/apt,177,2,111
West Asheville Modern Studio,Jake,28806,Entire home/apt,75,1,139
